Index,year,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Year,Station
27,,38,48,115,201,1491,1188,433,194,114,79,52,35,year,1-105 Zambezi At Chavuma Mission (130400)
28,,38,50,114,205,1513,1176,420,189,111,78,51,35,year,1-105 Zambezi At Chavuma Mission (130400)
29,,38,50,119,211,         ,1161,404,185,109,77,50,35,year,1-105 Zambezi At Chavuma Mission (130400)
30,,38,50,121,225,         ,1145,391,182,108,75,49,35,year,1-105 Zambezi At Chavuma Mission (130400)
31,,38,         ,126,224,         ,1126,         ,178,         ,74,49,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,35,33,45,93,153,546,800,418,187,112,79,55,year,1-105 Zambezi At Chavuma Mission (130400)
2,,35,33,46,95,151,567,796,407,185,111,79,54,year,1-105 Zambezi At Chavuma Mission (130400)
3,,35,34,47,97,148,598,789,389,180,109,78,53,year,1-105 Zambezi At Chavuma Mission (130400)
4,,34,33,49,98,147,612,772,379,179,108,77,53,year,1-105 Zambezi At Chavuma Mission (130400)
5,,33,33,51,101,149,641,764,365,176,107,76,52,year,1-105 Zambezi At Chavuma Mission (130400)
6,,33,34,51,105,149,658,754,354,172,107,74,51,year,1-105 Zambezi At Chavuma Mission (130400)
7,,33,35,51,108,148,677,734,344,169,103,74,50,year,1-105 Zambezi At Chavuma Mission (130400)
8,,32,35,53,111,147,710,732,332,166,101,74,48,year,1-105 Zambezi At Chavuma Mission (130400)
9,,31,33,53,114,149,730,724,326,163,101,74,47,year,1-105 Zambezi At Chavuma Mission (130400)
10,,31,33,62,120,154,748,720,310,162,99,72,47,year,1-105 Zambezi At Chavuma Mission (130400)
11,,32,33,63,142,162,748,708,300,159,99,71,47,year,1-105 Zambezi At Chavuma Mission (130400)
12,,33,33,63,126,167,737,695,290,156,98,70,47,year,1-105 Zambezi At Chavuma Mission (130400)
13,,32,33,65,128,172,735,683,284,153,96,69,45,year,1-105 Zambezi At Chavuma Mission (130400)
14,,30,35,64,131,180,727,665,276,150,94,68,44,year,1-105 Zambezi At Chavuma Mission (130400)
15,,30,35,65,132,190,726,652,268,147,94,68,43,year,1-105 Zambezi At Chavuma Mission (130400)
16,,30,35,65,135,199,729,636,262,144,94,67,44,year,1-105 Zambezi At Chavuma Mission (130400)
17,,31,35,65,141,225,733,622,255,141,91,65,43,year,1-105 Zambezi At Chavuma Mission (130400)
18,,30,35,66,144,257,739,600,250,140,90,65,43,year,1-105 Zambezi At Chavuma Mission (130400)
19,,29,35,68,146,275,739,583,244,138,89,65,43,year,1-105 Zambezi At Chavuma Mission (130400)
20,,29,35,69,146,293,739,571,238,135,88,63,42,year,1-105 Zambezi At Chavuma Mission (130400)
21,,28,35,72,150,321,739,558,232,132,86,63,42,year,1-105 Zambezi At Chavuma Mission (130400)
22,,27,36,77,149,354,739,546,227,129,87,61,42,year,1-105 Zambezi At Chavuma Mission (130400)
23,,27,38,79,151,393,752,530,221,127,88,61,43,year,1-105 Zambezi At Chavuma Mission (130400)
24,,28,37,79,153,416,768,516,215,126,86,61,44,year,1-105 Zambezi At Chavuma Mission (130400)
25,,28,38,79,151,432,787,495,212,124,86,60,43,year,1-105 Zambezi At Chavuma Mission (130400)
26,,28,38,80,152,446,803,481,207,123,85,59,42,year,1-105 Zambezi At Chavuma Mission (130400)
27,,28,39,83,151,469,823,468,203,120,84,58,42,year,1-105 Zambezi At Chavuma Mission (130400)
28,,28,42,84,152,502,830,455,199,118,84,57,41,year,1-105 Zambezi At Chavuma Mission (130400)
29,,29,44,86,151,526,829,445,196,-,83,57,40,year,1-105 Zambezi At Chavuma Mission (130400)
30,,30,44,90,150,         ,823,431,192,-,81,56,39,year,1-105 Zambezi At Chavuma Mission (130400)
31,,31,         ,93,149,         ,810,         ,189,         ,81,55,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,38,31,60,153,430,882,1044,817,310,175,111,-,year,1-105 Zambezi At Chavuma Mission (130400)
2,,37,32,62,159,443,914,1039,790,307,173,109,-,year,1-105 Zambezi At Chavuma Mission (130400)
3,,37,35,66,163,456,933,1072,763,297,169,109,-,year,1-105 Zambezi At Chavuma Mission (130400)
4,,36,36,70,168,476,963,1097,731,292,166,107,-,year,1-105 Zambezi At Chavuma Mission (130400)
5,,36,38,71,174,508,996,1151,717,286,163,105,-,year,1-105 Zambezi At Chavuma Mission (130400)
6,,36,38,75,183,535,1027,1217,687,280,160,103,-,year,1-105 Zambezi At Chavuma Mission (130400)
7,,36,38,76,192,552,1060,1235,665,276,157,100,-,year,1-105 Zambezi At Chavuma Mission (130400)
8,,35,39,80,199,571,1083,1263,652,271,154,96,-,year,1-105 Zambezi At Chavuma Mission (130400)
9,,33,40,80,208,587,1110,1300,629,264,151,91,-,year,1-105 Zambezi At Chavuma Mission (130400)
10,,31,41,83,216,620,1156,1365,608,258,149,91,-,year,1-105 Zambezi At Chavuma Mission (130400)
11,,30,41,87,230,652,1219,1427,580,257,147,91,-,year,1-105 Zambezi At Chavuma Mission (130400)
12,,31,41,88,236,685,1262,1469,565,250,147,89,-,year,1-105 Zambezi At Chavuma Mission (130400)
13,,32,42,90,236,712,1295,1479,546,246,146,87,-,year,1-105 Zambezi At Chavuma Mission (130400)
14,,30,43,93,238,745,1321,1477,527,242,142,86,-,year,1-105 Zambezi At Chavuma Mission (130400)
15,,31,45,100,240,761,1327,1453,508,236,140,85,-,year,1-105 Zambezi At Chavuma Mission (130400)
16,,29,49,98,244,770,1321,1408,487,232,137,84,-,year,1-105 Zambezi At Chavuma Mission (130400)
17,,28,49,103,246,767,1299,1364,469,228,135,84,-,year,1-105 Zambezi At Chavuma Mission (130400)
18,,30,47,108,253,762,1283,1311,453,223,132,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
19,,29,47,110,257,770,1267,1263,440,217,132,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
20,,27,50,113,264,768,1255,1223,425,214,131,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
21,,26,51,113,281,774,1250,1176,411,210,129,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
22,,25,49,116,293,781,1235,1138,400,206,128,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
23,,25,52,119,306,781,1219,1100,387,203,125,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
24,,24,52,121,325,788,1199,1062,377,199,124,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
25,,24,53,131,349,812,1168,1029,365,195,124,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
26,,24,51,138,367,827,1142,986,356,190,122,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
27,,25,54,138,377,846,1120,953,347,187,120,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
28,,30,58,140,401,863,1087,915,340,187,118,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
29,,31,58,144,418,         ,1064,881,329,182,116,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
30,,33,59,148,420,         ,1046,852,322,178,114,-,-,year,1-105 Zambezi At Chavuma Mission (130400)
31,,32,         ,152,421,         ,1042,         ,318,         ,112,-,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,-,-,81,261,3785,3294,2469,1199,-,236,152,98,year,1-105 Zambezi At Chavuma Mission (130400)
2,,-,-,84,274,4015,3558,2663,1150,-,234,151,95,year,1-105 Zambezi At Chavuma Mission (130400)
3,,-,36,85,290,4173,3869,2882,1114,-,230,149,94,year,1-105 Zambezi At Chavuma Mission (130400)
4,,-,37,87,309,4229,4160,3040,1074,-,227,147,92,year,1-105 Zambezi At Chavuma Mission (130400)
5,,-,38,89,327,4199,4350,3159,1040,-,223,145,90,year,1-105 Zambezi At Chavuma Mission (130400)
6,,-,36,89,353,4029,4496,3213,1000,-,219,143,87,year,1-105 Zambezi At Chavuma Mission (130400)
7,,-,36,94,392,3804,4549,3207,967,-,219,141,86,year,1-105 Zambezi At Chavuma Mission (130400)
8,,-,38,96,403,3547,4558,3129,932,-,214,138,86,year,1-105 Zambezi At Chavuma Mission (130400)
9,,-,38,98,416,3266,4544,3004,901,349,212,137,85,year,1-105 Zambezi At Chavuma Mission (130400)
10,,-,38,103,437,3012,4512,2833,871,342,210,135,84,year,1-105 Zambezi At Chavuma Mission (130400)
11,,-,38,105,451,2738,4409,2657,846,338,206,132,81,year,1-105 Zambezi At Chavuma Mission (130400)
12,,-,38,108,471,2514,4292,2463,753,327,201,130,81,year,1-105 Zambezi At Chavuma Mission (130400)
13,,-,40,115,497,2295,4317,2294,659,318,201,129,79,year,1-105 Zambezi At Chavuma Mission (130400)
14,,-,41,119,519,2124,4416,2154,635,312,197,127,78,year,1-105 Zambezi At Chavuma Mission (130400)
15,,-,43,122,549,1996,4434,2009,614,309,194,126,74,year,1-105 Zambezi At Chavuma Mission (130400)
16,,-,46,128,580,1926,4342,1878,597,301,192,122,74,year,1-105 Zambezi At Chavuma Mission (130400)
17,,-,47,131,618,1877,4223,1778,566,296,189,121,74,year,1-105 Zambezi At Chavuma Mission (130400)
18,,-,48,134,682,1927,4035,1696,501,292,187,120,72,year,1-105 Zambezi At Chavuma Mission (130400)
19,,-,48,141,748,2036,3831,1599,487,286,184,118,72,year,1-105 Zambezi At Chavuma Mission (130400)
20,,-,52,146,834,2111,3613,1544,481,282,182,118,72,year,1-105 Zambezi At Chavuma Mission (130400)
21,,-,54,154,935,2145,3430,1517,478,278,180,116,70,year,1-105 Zambezi At Chavuma Mission (130400)
22,,-,56,160,1037,2212,3270,1488,471,272,177,115,68,year,1-105 Zambezi At Chavuma Mission (130400)
23,,-,58,165,1180,2332,3083,1447,455,269,175,112,67,year,1-105 Zambezi At Chavuma Mission (130400)
24,,-,60,178,1281,2445,2859,1431,431,264,170,110,65,year,1-105 Zambezi At Chavuma Mission (130400)
25,,-,64,187,1429,2542,2721,1411,418,259,170,109,64,year,1-105 Zambezi At Chavuma Mission (130400)
26,,-,65,192,1613,2645,2637,1393,410,256,167,107,63,year,1-105 Zambezi At Chavuma Mission (130400)
27,,-,64,199,1835,2827,2543,1364,395,253,165,104,61,year,1-105 Zambezi At Chavuma Mission (130400)
28,,-,73,208,2048,3002,2504,1327,382,248,162,104,61,year,1-105 Zambezi At Chavuma Mission (130400)
29,,-,78,222,2387,         ,2481,1276,368,244,160,104,61,year,1-105 Zambezi At Chavuma Mission (130400)
30,,-,79,236,2849,         ,2431,1238,354,242,158,99,61,year,1-105 Zambezi At Chavuma Mission (130400)
31,,-,         ,246,3382,         ,2430,         ,-,         ,154,99,         ,year,1-105 Zambezi At Chavuma Mission (130400)
1,,59,43,88,210,1218,1705,2770,1073,401,201,120,72,year,1-105 Zambezi At Chavuma Mission (130400)
2,,59,43,88,218,1274,1661,2917,1049,390,199,118,70,year,1-105 Zambezi At Chavuma Mission (130400)
3,,58,43,88,223,1331,1608,3019,1010,381,195,117,69,year,1-105 Zambezi At Chavuma Mission (130400)
4,,58,44,86,228,1384,1564,3098,972,373,190,115,68,year,1-105 Zambezi At Chavuma Mission (130400)
5,,58,45,93,245,1421,1522,3160,928,364,187,112,67,year,1-105 Zambezi At Chavuma Mission (130400)
6,,59,46,95,256,1454,1497,3213,895,355,184,110,65,year,1-105 Zambezi At Chavuma Mission (130400)
